Route_name,Route_link
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
Patna (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/patna-to-kathmandu
Patna (Bihar) to Darbhanga,https://www.redbus.in/bus-tickets/patna-to-darbhanga
Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Purnea to Patna (Bihar),https://www.redbus.in/bus-tickets/purnea-to-patna
Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Lucknow to Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj
Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria
Patna (Bihar) to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/patna-to-muzaffarpur
Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari
Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra
Muzaffarpur (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/muzaffarpur-to-kathmandu
Patna (Bihar) to Chhapra (Bihar),https://www.redbus.in/bus-tickets/patna-to-chapra
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow
Motihari to Patna (Bihar),https://www.redbus.in/bus-tickets/motihari-to-patna
Raxaul to Kathmandu,https://www.redbus.in/bus-tickets/raxaul-to-kathmandu
Lucknow to Darbhanga,https://www.redbus.in/bus-tickets/lucknow-to-darbhanga
Patna (Bihar) to Simrahi Bazar (Bihar),https://www.redbus.in/bus-tickets/patna-to-simrahi-bazar-bihar
Muzaffarpur (Bihar) to Ramgarh (Jharkhand),https://www.redbus.in/bus-tickets/muzaffarpur-to-ramgarh
Hajipur (Bihar) to Delhi,https://www.redbus.in/bus-tickets/hajipur-to-delhi
Patna (Bihar) to Ramgarh (Jharkhand),https://www.redbus.in/bus-tickets/patna-to-ramgarh-jharkhand
Ramgarh (Jharkhand) to Patna (Bihar),https://www.redbus.in/bus-tickets/ramgarh-jharkhand-to-patna
