Route_name,Route_link
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport
Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport
Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar
Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport
Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi
Delhi Airport to Phagwara,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara
